date,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1
1/1/18 0:00,11.64,11.51,8.1,79.07,86.7
1/1/18 0:15,11.49,11.42,8.14,80.1,45.88
1/1/18 0:30,11.59,11.51,8.21,79.92,51.62
1/1/18 0:45,11.44,11.41,8.11,80.2,21.43
1/1/18 1:00,11.12,11.15,8.04,81.5,6.45
1/1/18 1:15,10.94,11.01,7.99,82.2,1.81
1/1/18 1:30,10.79,10.84,7.93,82.7,0.24
1/1/18 1:45,10.71,10.73,8.02,83.6,0
1/1/18 2:00,10.79,10.84,8.01,83.1,0
1/1/18 2:15,10.78,10.83,7.94,82.8,0
1/1/18 2:30,10.82,10.89,7.86,82.1,0
1/1/18 2:45,10.63,10.64,8.03,84.1,0
1/1/18 3:00,10.56,10.62,8.03,84.5,0
1/1/18 3:15,10.54,10.61,8.06,84.8,0
1/1/18 3:30,10.46,10.51,8.05,85.2,0
1/1/18 3:45,10.35,10.45,8,85.5,0
1/1/18 4:00,10.17,10.27,7.98,86.4,0
1/1/18 4:15,9.97,10.13,7.98,87.6,0
1/1/18 4:30,9.91,10.11,7.98,87.9,0
1/1/18 4:45,9.92,10.08,8.09,88.5,0
1/1/18 5:00,9.83,9.94,8.1,89.1,0
1/1/18 5:15,9.78,9.9,8.13,89.6,0
1/1/18 5:30,9.77,9.87,8.19,90,0
1/1/18 5:45,9.84,9.92,8.29,90.2,0
1/1/18 6:00,9.79,9.87,8.23,90.1,0
1/1/18 6:15,9.79,9.88,8.18,89.8,0
1/1/18 6:30,9.82,9.92,8.12,89.3,0
1/1/18 6:45,9.77,9.87,8.09,89.4,0
1/1/18 7:00,9.87,9.93,8.12,89,0
1/1/18 7:15,9.95,10.02,8.12,88.5,0
1/1/18 7:30,10.04,10.1,8.1,87.9,0
1/1/18 7:45,10.09,10.12,8.03,87.2,0
1/1/18 8:00,10.1,10.16,7.98,86.8,0
1/1/18 8:15,10.04,10.12,7.92,86.8,0
1/1/18 8:30,10.04,10.15,7.92,86.8,0
1/1/18 8:45,10.11,10.24,7.85,86,0
1/1/18 9:00,10.04,10.31,7.55,84.7,0
1/1/18 9:15,10.19,10.58,7.54,83.8,0
1/1/18 9:30,10.23,10.76,7.39,82.7,0
1/1/18 9:45,9.97,10.52,7.29,83.6,0
1/1/18 10:00,10.11,10.52,7.36,83.2,0
1/1/18 10:15,10.25,10.47,7.48,83.1,0
1/1/18 10:30,10.21,10.51,7.38,82.8,0
1/1/18 10:45,10.07,10.46,7.23,82.7,0
1/1/18 11:00,10.36,10.61,7.42,82.2,0
1/1/18 11:15,10.29,10.58,7.35,82.2,0
1/1/18 11:30,9.85,10.28,7.23,83.9,0
1/1/18 11:45,9.71,10.12,7.26,84.9,0
1/1/18 12:00,9.24,9.76,7.1,86.6,0
1/1/18 12:15,9.01,9.56,7.09,87.9,0
1/1/18 12:30,9.18,9.92,7.27,88,0
1/1/18 12:45,9.18,10.02,7.24,87.8,0
1/1/18 13:00,9.51,10.04,7.19,85.6,0
1/1/18 13:15,9.27,9.82,7.07,86.3,0
1/1/18 13:30,9.68,9.98,7.36,85.6,0
1/1/18 13:45,9.66,9.91,7.41,86,0
1/1/18 14:00,9.54,9.96,7.31,86.1,0
1/1/18 14:15,9.67,10.01,7.38,85.8,0
1/1/18 14:30,9.66,9.97,7.37,85.8,0
1/1/18 14:45,9.58,9.85,7.52,87.1,0
1/1/18 15:00,9.24,9.43,7.5,89,0
1/1/18 15:15,9.04,9.32,7.44,89.8,0.27
1/1/18 15:30,9.09,9.35,7.55,90.2,1.84
1/1/18 15:45,9.06,9.22,7.59,90.6,6.53
1/1/18 16:00,9.02,9.46,7.42,89.8,23.83
1/1/18 16:15,9.54,9.83,7.51,87.3,60.96
1/1/18 16:30,9.72,9.93,7.53,86.4,83.5
1/1/18 16:45,9.23,9.32,7.54,89.3,114.2
1/1/18 17:00,9.07,9.2,7.53,90.2,113.8
1/1/18 17:15,9.14,9.29,7.63,90.4,146.7
1/1/18 17:30,9.33,9.42,7.71,89.7,190
1/1/18 17:45,9.44,9.52,7.8,89.6,193.4
1/1/18 18:00,9.59,9.69,7.88,89.2,244.2
1/1/18 18:15,9.87,9.96,7.89,87.6,278.2
1/1/18 18:30,10.01,10.09,7.77,86.1,293.8
1/1/18 18:45,10.42,10.36,7.96,84.9,241.7
1/1/18 19:00,10.54,10.39,7.97,84.3,279.8
1/1/18 19:15,11.01,10.85,8.13,82.6,390.8
1/1/18 19:30,11.65,11.44,8.36,80.4,404.6
1/1/18 19:45,12.11,11.86,8.47,78.63,411.2
1/1/18 20:00,12.42,12.24,8.59,77.66,387.1
1/1/18 20:15,12.92,12.61,8.73,75.9,392.2
1/1/18 20:30,12.98,12.84,8.66,75.22,395.6
1/1/18 20:45,13.79,13.39,8.7,71.61,442.5
1/1/18 21:00,13.82,13.58,8.51,70.55,355.3
1/1/18 21:15,14.07,13.89,7.92,66.71,299.2
1/1/18 21:30,14.23,14,7.93,66.06,283.7
1/1/18 21:45,14.41,14.22,7.5,63.43,277.4
1/1/18 22:00,14.51,14.36,7.05,61.14,292
1/1/18 22:15,14.5,14.2,7.69,63.91,313
1/1/18 22:30,14.92,14.61,7.42,61.05,291.5
1/1/18 22:45,14.77,14.52,7.66,62.66,242.6
1/1/18 23:00,14.83,14.64,7.15,60.31,224.1
1/1/18 23:15,15.26,14.95,6.9,57.66,256.4
1/1/18 23:30,15.48,15.26,6.28,54.5,221.5
1/1/18 23:45,15.32,15.22,6,54.02,147.3
1/2/18 0:00,15.28,15.1,6.33,55.4,161.9
1/2/18 0:15,15.27,15.2,6.03,54.32,108.7
1/2/18 0:30,14.84,14.82,6.42,57.34,52.06
1/2/18 0:45,14.43,14.44,6.23,58.11,27.12
1/2/18 1:00,14.2,14.23,6.43,59.8,8.84
1/2/18 1:15,14.23,14.36,5.03,54.21,2.21
1/2/18 1:30,14.19,14.38,4.83,53.58,0.28
1/2/18 1:45,14.23,14.37,4.77,53.22,0.14
1/2/18 2:00,14.31,14.51,4.4,51.6,0.09
1/2/18 2:15,14.34,14.51,4.08,50.39,0.09
1/2/18 2:30,14.2,14.41,4.01,50.59,0.1
1/2/18 2:45,14.23,14.61,3.81,49.8,0.09
1/2/18 3:00,14.22,14.39,3.87,50.02,0.13
1/2/18 3:15,14.13,14.38,3.82,50.13,0.11
1/2/18 3:30,14.04,14.33,3.45,49.14,0.11
1/2/18 3:45,14.16,14.37,3.31,48.3,0.12
1/2/18 4:00,14.14,14.45,2.9,46.99,0.1
1/2/18 4:15,14.24,14.42,3.11,47.36,0.08
1/2/18 4:30,13.82,14.08,3.04,48.43,0.05
1/2/18 4:45,13.74,14.07,3.05,48.71,0.06
1/2/18 5:00,13.83,14.08,2.92,48.01,0.07
1/2/18 5:15,13.58,13.83,3.08,49.35,0.09
1/2/18 5:30,13.28,13.45,3.34,51.25,0.06
1/2/18 5:45,13.22,13.54,3.64,52.52,0.03
1/2/18 6:00,12.84,13.08,4.16,55.84,0.06
1/2/18 6:15,12.88,13.01,4.09,55.42,0.07
1/2/18 6:30,12.87,13.02,4.12,55.57,0.04
1/2/18 6:45,12.91,13.11,3.76,54.05,0.02
1/2/18 7:00,12.72,12.94,3.78,54.81,0.02
1/2/18 7:15,12.54,12.79,3.62,54.84,0.02
1/2/18 7:30,12.76,13.02,3.57,53.87,0.01
1/2/18 7:45,13.49,13.68,2.62,48.03,0
1/2/18 8:00,14.13,14.49,1.89,43.75,0
1/2/18 8:15,13.54,13.71,2.74,48.29,0.1
1/2/18 8:30,13.15,13.59,3.21,51.22,0.08
1/2/18 8:45,13.49,13.89,2.85,48.82,0.05
1/2/18 9:00,13.77,14.01,2.47,46.67,0.07
1/2/18 9:15,13.44,13.74,2.88,49.09,0.08
1/2/18 9:30,13.32,13.59,3.14,50.4,0.03
1/2/18 9:45,13.54,13.91,2.17,46.4,0.02
1/2/18 10:00,13.42,13.73,1.95,46.01,0.03
1/2/18 10:15,13.81,14.13,1.15,42.38,0.03
1/2/18 10:30,12.84,13.19,2.16,48.52,0.06
1/2/18 10:45,12.54,12.83,3.42,54.06,0.05
1/2/18 11:00,13.63,13.96,1.57,44.19,0.01
1/2/18 11:15,13.47,13.62,1.5,44.42,0.02
1/2/18 11:30,12.84,13.05,2.56,49.92,0.07
1/2/18 11:45,12.31,12.43,4.38,58.71,0.07
1/2/18 12:00,11.52,11.59,5.48,66.69,0.04
1/2/18 12:15,11.62,11.9,5.32,65.55,0
1/2/18 12:30,12.62,12.77,3.32,53.41,0.01
1/2/18 12:45,12.68,12.91,2.7,50.95,0.01
1/2/18 13:00,12.88,13.2,1.9,47.52,0.01
1/2/18 13:15,13.47,13.69,1,42.86,0.01
1/2/18 13:30,13.64,13.85,0.46,40.77,0.03
1/2/18 13:45,13.88,14.16,0.12,39.18,0.04
1/2/18 14:00,13.92,14.16,0.04,38.85,0.05
1/2/18 14:15,12.77,12.95,0.88,44.5,0.14
1/2/18 14:30,12.29,12.7,1.42,47.73,0.04
1/2/18 14:45,13.36,13.92,0.59,41.93,0.01
1/2/18 15:00,14.27,14.55,-0.59,36.28,0.02
1/2/18 15:15,14.44,14.68,-0.86,35.18,0.22
1/2/18 15:30,14.23,14.64,-0.82,35.76,1.36
1/2/18 15:45,14.66,15.09,-1,34.33,5.76
1/2/18 16:00,13.79,13.96,0.55,40.64,12.45
